    1: |Aut(M)| = 3,  Cycles:78(14) 
 "    0   1    2   3    4   5    6   7    8   9   10  11   12  13 "
 "    0   2    1   4    3   6    5   8    7  10    9  12   11  13 "
 "    0   3    1   5    2   7    4   9    6  12    8  11   10  13 "
 "    0   4    1   3    2   8    5  12    6  11    7  13    9  10 "
 "    0   5    1  13    2  11    3   4    6  10    7   9    8  12 "
 "    0   6    1  10    2   9    3  13    4   8    5  11    7  12 "
 "    0   7    1  11    2   4    3   8    5  13    6   9   10  12 "
 "    0   8    1   7    2  10    3  12    4  13    5   6    9  11 "
 "    0   9    1  12    2  13    3  11    4   7    5  10    6   8 "
 "    0  10    1   9    2  12    3   5    4  11    6  13    7   8 "
 "    0  11    1   8    2   6    3  10    4  12    5   7    9  13 "
 "    0  12    1   6    2   5    3   9    4  10    7  11    8  13 "
 "    0  13    1   2    3   7    4   6    5   9    8  10   11  12 "
    2: |Aut(M)| = 1,  Cycles:78(14) 
 "    0   1    2   3    4   5    6   7    8   9   10  11   12  13 "
 "    0   2    1   4    3   6    5   8    7  10    9  12   11  13 "
 "    0   3    1   5    2   7    4   9    6  12    8  11   10  13 "
 "    0   4    1   7    2  11    3  12    5   9    6  10    8  13 "
 "    0   5    1  12    2  13    3  10    4   6    7   8    9  11 "
 "    0   6    1  11    2   9    3   4    5  12    7  13    8  10 "
 "    0   7    1  10    2   5    3  11    4  13    6   9    8  12 "
 "    0   8    1   2    3  13    4  10    5   6    7   9   11  12 "
 "    0   9    1  13    2   8    3   5    4   7    6  11   10  12 "
 "    0  10    1   6    2   4    3   8    5  11    7  12    9  13 "
 "    0  11    1   3    2  12    4   8    5   7    6  13    9  10 "
 "    0  12    1   9    2  10    3   7    4  11    5  13    6   8 "
 "    0  13    1   8    2   6    3   9    4  12    5  10    7  11 "
